company,price,diameter,topping,variant,size,extra_sauce,extra_cheese,extra_mushrooms
A,Rp235000,22 inch,chicken,double_signature,jumbo,yes,yes,no
A,Rp198000,20 inch,papperoni,double_signature,jumbo,yes,yes,no
A,Rp120000,16 inch,mushrooms,double_signature,reguler,yes,yes,yes
A,Rp155000,14 inch,smoked_beef,double_signature,reguler,yes,no,yes
A,Rp248000,18 inch,mozzarella,double_signature,jumbo,yes,no,yes
A,Rp140000,18.5 inch,black_papper,american_favorite,jumbo,no,no,yes
A,Rp110000,16 inch,smoked_beef,american_favorite,jumbo,no,yes,yes
A,Rp70000,8 inch,papperoni,american_favorite,reguler,no,no,yes
A,Rp90000,12 inch,mushrooms,american_favorite,reguler,yes,no,yes
A,Rp90000,12 inch,smoked_beef,american_favorite,reguler,no,no,no
A,Rp140000,18.5 inch,mozzarella,super_supreme,jumbo,no,no,no
A,Rp110000,16 inch,black_papper,super_supreme,jumbo,yes,yes,no
A,Rp70000,8 inch,smoked_beef,super_supreme,reguler,yes,yes,no
A,Rp90000,12 inch,black_papper,super_supreme,reguler,no,yes,no
A,Rp90000,12 inch,mozzarella,super_supreme,reguler,no,yes,no
A,Rp140000,18.5 inch,mozzarella,meat_lovers,jumbo,no,yes,yes
A,Rp110000,16 inch,smoked_beef,meat_lovers,jumbo,no,yes,yes
A,Rp70000,8 inch,chicken,meat_lovers,reguler,yes,yes,yes
A,Rp90000,12 inch,mushrooms,meat_lovers,reguler,yes,yes,yes
A,Rp90000,12 inch,mozzarella,meat_lovers,reguler,yes,yes,yes
A,Rp230000,22 inch,chicken,double_mix,jumbo,yes,yes,yes
A,Rp188000,18.5 inch,mushrooms,double_mix,jumbo,yes,yes,yes
A,Rp114000,14 inch,chicken,double_mix,reguler,yes,yes,yes
A,Rp149000,16.5 inch,smoked_beef,double_mix,reguler,yes,no,no
A,Rp149000,16.5 inch,chicken,double_mix,reguler,yes,no,no
B,Rp23500,8.5 inch,mozzarella,classic,small,yes,no,no
B,Rp46000,12 inch,chicken,classic,medium,yes,no,no
B,Rp72000,14 inch,smoked_beef,classic,large,yes,no,yes
B,Rp49000,12 inch,mozzarella,crunchy,medium,no,no,yes
B,Rp83000,17 inch,chicken,new_york,XL,no,yes,yes
B,Rp96000,12 inch,chicken,double_decker,medium,no,yes,yes
B,Rp31000,8.5 inch,mushrooms,classic,small,yes,yes,yes
B,Rp69000,12 inch,chicken,classic,medium,no,yes,yes
B,Rp93000,14 inch,mushrooms,classic,large,no,yes,yes
B,Rp75000,12 inch,mushrooms,crunchy,medium,no,yes,yes
B,Rp115000,17 inch,mozzarella,new_york,XL,no,yes,yes
B,Rp123000,12 inch,smoked_beef,double_decker,medium,yes,yes,yes
B,Rp33000,8.5 inch,chicken,classic,small,no,yes,yes
B,Rp46000,12 inch,mozzarella,classic,medium,yes,yes,yes
B,Rp72000,14 inch,chicken,classic,large,yes,yes,no
B,Rp76000,12 inch,chicken,crunchy,medium,no,no,no
B,Rp119000,17 inch,mushrooms,new_york,XL,yes,no,no
B,Rp126500,12 inch,smoked_beef,double_decker,medium,yes,no,no
B,Rp75000,8.5 inch,smoked_beef,classic,small,yes,yes,no
B,Rp46000,12 inch,mushrooms,classic,medium,yes,yes,no
B,Rp72000,14 inch,mozzarella,classic,large,yes,yes,no
B,Rp49000,12 inch,smoked_beef,crunchy,medium,no,yes,no
B,Rp83000,17 inch,chicken,new_york,XL,no,yes,no
B,Rp96000,12 inch,mushrooms,double_decker,medium,no,yes,no
C,Rp39000,8.5 inch,tuna,spicy_tuna,small,yes,yes,yes
C,Rp72000,12 inch,tuna,spicy_tuna,medium,yes,yes,yes
C,Rp99000,14 inch,tuna,spicy_tuna,large,yes,yes,yes
